ISBN,Titolo,Sottotitolo,Autore,Formato,"Numero di pagine",Editore,"Data di pubblicazione","Note private","Titolo Commento","Contenuto Commento","Stato di lettura",Voto,Tags
[9788845908804],"Il più grande uomo scimmia del Pleistocene",,"Roy Lewis",Paperback,178,"Adelphi (Fabula, 58)",[1992-01-xx],,,,"Finito nel 27 ago 2021, 00:00:00",4,
[9788870216653],"Silicon valley","Storia e successo del personal computer","Paul Freiberger","Mass Market Paperback",,Muzzio,[xxxx-xx-xx],,,,"Finito nel 27 ago 2021, 00:00:00",4,
[9788845207938],"Il diario",,"Anais Nin",Others,,Bompiani,[xxxx-xx-xx],,,,"In lettura dal 25 ago 2021, 00:00:00",,
[9788817124881],"Grazie, Jeeves",,"Pelham G. Wodehouse",Others,,"Rizzoli (Biblioteca Universale)",[1984-01-01],,,,"Finito nel 24 ago 2021, 00:00:00",,
[9788858143889],"Centri e periferie","Europa, Italia, Mezzogiorno dal XX al XXI secolo","Gianfranco Viesti",Paperback,414,Laterza,[2021-xx-xx],,,,"Finito nel 23 ago 2021, 00:00:00",5,
[9788845913327],"Storia universale dell'infamia",,"Jorge Luis Borges",Paperback,115,"Adelphi (Biblioteca)",[1997-10-01],,,,"Finito nel 21 ago 2021, 00:00:00",3,
[9788868364908],"Il potere nascosto degli ipersensibili"," ","Christel Petitcollin",Paperback,240,"Sperling & Keupfer",[2019-02-12],,,,"Finito nel 19 ago 2021, 00:00:00",4,
[9788842080824],Barbari,"Immigrati, profughi, deportati nell'Impero romano","Alessandro Barbero",Hardcover,337,Laterza,[2006-09-01],,,,"In lettura dal 15 ago 2021, 00:00:00",,
[9788869981623],Inverno,,"Ali Smith",Paperback,280,"Sur (BigSur, 40)",[2019-06-06],,,,"In lettura dal 15 ago 2021, 00:00:00",,
[9788842068631],"Il monachesimo",,"Salvatore Pricoco",Others,164,Laterza,[2003-01-01],,,,,,
[9788845907845],"Lettera al mio giudice",,"Georges Simenon",Others,206,"Adelphi (Biblioteca Adelphi 225)",[1990-01-01],,,,"Finito nel 14 ago 2021, 00:00:00",3,
[9788869981258],Autunno,,"Ali Smith",Paperback,228,"Sur (BigSur)",[2018-04-xx],,,,"Finito nel 14 ago 2021, 00:00:00",4,
[9788858766811],Sapiens,"Da animali a dèi","Yuval Noah Harari",eBook,537,Bompiani,[2017-xx-xx],,Deludente,"Spesso autoreferenziale, molto spesso semplicistico, qualche aneddoto interessante. Riusa teorie antropologiche in parte superate e le condisce con fantascienza mediocre. Se invece avessi dovuto dare un voto al marketing, 5 stelle meritatissime.","Finito nel 9 ago 2021, 00:00:00",2,
[9788858823699],"Il grande sonno",,"Raymond Chandler",eBook,242,Feltrinelli,[2013-11-20],,,,"Finito nel 1 ago 2021, 00:00:00",5,
[9788860304834],"Storia medievale",,"Rinaldo Comba",Others,300,,[2012-07-01],,,,,,
[9780691136400],"The Box","How the Shipping Container Made the World Smaller and the World Economy Bigger","Marc Levinson",Paperback,400,"Princeton University Press",[2008-01-07],,,,"Finito nel 31 lug 2021, 00:00:00",5,
[9788804708674],"Le Nuove Vie della Seta","Presente e futuro del mondo","Peter Frankopan",Others,256,Mondadori,[2019-02-05],,,,"Finito nel 25 lug 2021, 00:00:00",4,
[9788804683667],"Leonardo da Vinci",,"Walter Isaacson",Paperback,507,"A. Mondadori (Le scie)",[2017-xx-xx],,,,"Finito nel 17 lug 2021, 00:00:00",5,
[9781107082656],"Principles for building resilience","Sustaining ecosystem services in social-ecological Systems",,Hardcover,311,"Cambridge university",[2015-04-02],,,,,,
[9788804729914],"Denominazione di origine inventata","Le bugie del marketing sui prodotti tipici italiani","Alberto Grandi","Mass Market Paperback",192,"Mondadori (Oscar bestsellers)",[2020-07-28],,,,"Finito nel 21 giu 2021, 00:00:00",4,
[9788804668022],"Le città invisibili",,"Italo Calvino","Mass Market Paperback",166,"Mondadori (Oscar moderni, 52; Opere di Italo Calvino)",[2016-08-23],,,,"Finito nel 20 giu 2021, 00:00:00",4,
[9788807033247],"Il filo infinito",,"Paolo Rumiz",Paperback,174,Feltrinelli,[2019-03-xx],,,,"Finito nel 2 giu 2021, 00:00:00",5,
[9782738125262],"Comment la méditation a changé ma vie...","et pourrait bien changer la vôtre!","Jeanne Siaud-Facchin",Paperback,224,"Odile Jacob",[2012-04-xx],,,,"Finito nel 28 mag 2021, 00:00:00",5,
[9781472228055],"TED Talks",,"Chris Anderson",Paperback,269,Headline,[2016-xx-xx],,,,"In lettura dal 22 mag 2021, 00:00:00",,
[9788858426463],"Fuori controllo","Un'antropologia del cambiamento accelerato","Thomas Hylland Eriksen",eBook,218,Einaudi,[2017-08-29],,,,"Finito nel 21 mag 2021, 00:00:00",5,
[9780374911010],"The Tyranny of Merit","What's Become of the Common Good?","Michael J. Sandel",Paperback,272,Macmillan,[2020-xx-xx],,,,"Finito nel 11 mag 2021, 00:00:00",5,
[9788845919824],"La versione di Barney",,"Mordecai Richler",Paperback,490,"Adelphi (Gli Adelphi; 267)",[2005-05-01],,,,"Finito nel 18 lug 2020, 00:00:00",5,
[9788804643265],"Steve Jobs",,"Walter Isaacson",Hardcover,1143,"A. Mondadori (Flipback)",[2014-07-01],,,"Molto documentata, ben scritta e riesce a non essere un'agiografia. Personalmente mi interessava ripercorrere, attraverso la biografia di Steve, gli anni in cui è nata e si è diffusa l'informatica pop. Un altro aspetto che sto approfondendo e che nel libro di Isaacson emergono chiaramente sono i contesti entro cui la personalità innovativa può emergere e svilupparsi.  ","Finito nel 15 giu 2020, 00:00:00",4.5,Biografia
